"","nutrient","nutrient_type","nutrient_units","units","sex_stage","sex","stage","age_range","dri_type","ref_value","footnote","ref_units","relevance","data_type"
"1","Calcium","Element","mg","mg/d","Women","Females","None","19-30 yr","UL",2500,"","mg",3,"RDI_name"
"2","Calcium","Element","mg","mg/d","Women (lactating)","Females","Lactation","31-50 yr","EAR",800,NA,"mg",3,"RDI_name"
"3","Calcium","Element","mg","mg/d","Infants","Both","Infants","6-12 mo","UL",1500,"","mg",3,"RDI_name"
"4","Calcium","Element","mg","mg/d","Children","Both","Children","1-3 yr","RDA",700,"","mg",3,"RDI_name"
"5","Calcium","Element","mg","mg/d","Women","Females","None","9-13 yr","UL",3000,"","mg",3,"RDI_name"
"6","Calcium","Element","mg","mg/d","Women","Females","None","31-50 yr","UL",2500,"","mg",3,"RDI_name"
"7","Calcium","Element","mg","mg/d","Women","Females","None","14-18 yr","UL",3000,"","mg",3,"RDI_name"
"8","Calcium","Element","mg","mg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","EAR",800,NA,"mg",3,"RDI_name"
"9","Calcium","Element","mg","mg/d","Infants","Both","Infants","0-6 mo","UL",1000,"","mg",3,"RDI_name"
"10","Calcium","Element","mg","mg/d","Men","Males","None","9-13 yr","EAR",1100,NA,"mg",3,"RDI_name"
"11","Calcium","Element","mg","mg/d","Infants","Both","Infants","0-6 mo","AI",200,"*","mg",3,"RDI_name"
"12","Calcium","Element","mg","mg/d","Infants","Both","Infants","6-12 mo","AI",260,"*","mg",3,"RDI_name"
"13","Calcium","Element","mg","mg/d","Women","Females","None","31-50 yr","EAR",800,NA,"mg",3,"RDI_name"
"14","Calcium","Element","mg","mg/d","Children","Both","Children","1-3 yr","UL",2500,"","mg",3,"RDI_name"
"15","Calcium","Element","mg","mg/d","Men","Males","None","14-18 yr","EAR",1100,NA,"mg",3,"RDI_name"
"16","Calcium","Element","mg","mg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","EAR",800,NA,"mg",3,"RDI_name"
"17","Calcium","Element","mg","mg/d","Women (lactating)","Females","Lactation","31-50 yr","RDA",1000,"","mg",3,"RDI_name"
"18","Calcium","Element","mg","mg/d","Men","Males","None",">70 yr","RDA",1200,"","mg",3,"RDI_name"
"19","Calcium","Element","mg","mg/d","Children","Both","Children","4-8 yr","RDA",1000,"","mg",3,"RDI_name"
"20","Calcium","Element","mg","mg/d","Women","Females","None","31-50 yr","RDA",1000,"","mg",3,"RDI_name"
"21","Calcium","Element","mg","mg/d","Men","Males","None","19-30 yr","EAR",800,NA,"mg",3,"RDI_name"
"22","Calcium","Element","mg","mg/d","Men","Males","None","31-50 yr","EAR",800,NA,"mg",3,"RDI_name"
"23","Calcium","Element","mg","mg/d","Women","Females","None","9-13 yr","RDA",1300,"","mg",3,"RDI_name"
"24","Calcium","Element","mg","mg/d","Women","Females","None","19-30 yr","EAR",800,NA,"mg",3,"RDI_name"
"25","Calcium","Element","mg","mg/d","Women","Females","None","9-13 yr","EAR",1100,NA,"mg",3,"RDI_name"
"26","Calcium","Element","mg","mg/d","Men","Males","None","9-13 yr","RDA",1300,"","mg",3,"RDI_name"
"27","Calcium","Element","mg","mg/d","Men","Males","None","51-70 yr","EAR",800,NA,"mg",3,"RDI_name"
"28","Calcium","Element","mg","mg/d","Women","Females","None","14-18 yr","RDA",1300,"","mg",3,"RDI_name"
