"food_nutrient_conversion_factor_id","protein_value","fat_value","carbohydrate_value"
"11672","4","9","4"
"11673","4","9","4"
"11674","2.7","8.8","4"
"11675","2.7","8.7","3.9"
"11676","3.5","8.6","4.1"
"11677","4","9","4"
"11678","4","9","4"
"11679","3.9","8.8","4"
"11680","3.5","8.6","4"
"11681","3.5","8.4","4.1"
"11682","3.5","8.6","3.6"
"11683","3.47","8.37","4.07"
"11684","3.7","8.6","3.8"
"11685","3.4","8.4","3.7"
"11686","2.7","8.8","4"
"11687","3","8.4","4.1"
"11688","3","8.5","3.9"
"11689","2.7","8.8","3.9"
"11690","2.8","8.8","4"
"11691","3.3","8.8","3.9"
"11692","3.7","8.7","4"
"11693","3.8","8.7","4"
"11694","3.1","8.4","4.1"
"11695","2.7","8.8","4"
"11696","3.5","8.4","3.7"
"11697","4.27","8.79","3.87"
"11698","4.27","8.79","3.87"
"11699","1.83","8.4","1.33"
"11700","4","9","4"
"11701","4","9","4"
"11702","4.3","8.8","3.9"
"11703","4","9","4"
"11704","4","9","4"
"11705","4","9","4"
"11706","4.1","8.79","3.8"
"11707","4","9","4"
"11708","4","9","4"
"11709","4.03","8.37","2.78"
"11710","4.27","9.02","3.87"
"11711","4","9","4"
"11712","4","9","4"
"11713","4","9","4"
"11714","4","9","2.47"
"11715","4","9","4"
"11716","4.27","8.79","3.87"
"11717","4.27","9.02","3.87"
"11718","4.27","9.02","3.87"
"11719","4.03","8.84","3.8"
"11720","","8.84",""
"11721","4","9","2.47"
"11722","4","9","4"
"11723","4.27","9.02","3.87"
"11724","3.36","8.37","3.6"
"11725","4.1","8.9","4.1"
"11726","4","9","4"
"11727","4.36","8.84","3.8"
"11728","4","9","4"
"11729","4","9","4"
"11730","4","9","4"
"11731","4","9","4"
"11732","0","0","3.68"
"11733","3.36","8.37","2.48"
"11734","3.36","8.37","2.7"
"11735","3.36","8.37","2.7"
"11736","3.36","8.37","3.6"
"11737","3.36","8.37","3.6"
"11738","3.36","8.37","3.6"
"11739","3.36","8.37","3.92"
"11740","3.36","8.37","3.6"
"11741","3.36","8.37","3.6"
"11742","3.36","8.37","3.75"
"11743","3.36","8.37","3.78"
"11744","3.36","8.37","3.6"
"11745","3.36","8.37","3.6"
"11746","3.36","8.37","3.6"
"11747","3.36","8.37","3.6"
"11748","3.36","8.37","3.6"
"11749","3.36","8.37","3.6"
"11750","3.36","8.37","3.75"
"11751","3.36","8.37","3.6"
"11752","3.36","8.37","3.87"
"11753","3.36","8.37","3.7"
"11754","3.36","8.37","3.75"
"11755","3.36","8.37","3.6"
"11756","3.36","8.37","3.75"
