"food_nutrient_conversion_factor_id","value"
"16365","6.25"
"16366","6.25"
"16367","6.25"
"16368","6.25"
"16369","6.25"
"16370","6.25"
"16371","6.25"
"16372","6.25"
"16373","6.25"
"16374","6.1"
"16375","6.2"
"16376","6.25"
"16377","6.25"
"16378","6.25"
"16379","5.7"
"16380","5.8"
"16381","6.1"
"16382","5.46"
"16383","5.9"
"16384","5.6"
"16385","6.25"
"16386","6.1"
"16387","5.9"
"16388","6.2"
"16389","6.25"
"16390","6.3"
"16391","5.7"
"16392","5.8"
"16393","5.9"
"16394","6.2"
"16395","6.25"
"16396","6.25"
"16397","5.4"
"16398","6.25"
"16399","6.38"
"16400","6.25"
"16401","6.25"
"16402","5.63"
"16403","6.25"
"16404","6.25"
"16405","6.38"
"16406","6.25"
"16407","6.25"
"16408","0"
"16409","6.25"
"16410","6.4"
"16411","6.25"
"16412","6.25"
"16413","6.25"
"16414","6.25"
"16415","6.25"
"16416","6.25"
"16417","6.25"
"16418","6.25"
"16419","6.25"
"16420","6.25"
"16421","6.25"
"16422","6.25"
"16423","6.25"
"16424","6.25"
"16425","6.25"
"16426","6.25"
"16427","6.25"
"16428","6.25"
"16429","6.25"
"16430","6.25"
"16431","6.25"
"16432","5.3"
"16433","6.25"
"16434","6.25"
"16435","6.25"
"16436","6.25"
"16437","6.25"
"16438","6.25"
"16439","6.25"
"16440","5.3"
"16441","6.25"
"16442","5.3"
"16443","6.25"
"16444","6.25"
"16445","6.25"
"16446","6.25"
"16447","6.25"
"16448","6.25"
"16449","6.25"
"16450","6.25"
"16451","6.25"
"16452","6.25"
"16453","6.25"
"16454","6.25"
"16455","6.25"
"16456","6.25"
"16457","6.25"
"16458","5.3"
"16459","6.25"
"16460","6.25"
"16461","6.25"
"16462","6.25"
"16463","6.25"
"16464","6.25"
"16465","6.25"
"16466","6.25"
"16467","6.25"
"16468","6.25"
"16469","6.25"
"16470","6.25"
"16471","6.25"
"16472","6.25"
"16473","6.25"
"16474","6.25"
"16475","6.25"
"16476","6.38"
"16477","6.29"
"16478","6.25"
"16479","6.38"
"16480","6.25"
"16481","6.38"
"16482","6.25"
"16483","6.25"
"16484","6.38"
"16485","6.38"
"16486","6.25"
"16487","6.25"
"16488","6.25"
"16489","6.25"
"16490","6.38"
"16491","6.25"
"16492","6.14"
"16493","6.25"
"16494","6.25"
"16495","6.25"
"16496","6.38"
"16497","6.25"
"16498","6.25"
"16499","6.25"
"16500","6.38"
"16501","6.25"
"16502","6.25"
"16503","6.25"
"16504","6.25"
"16505","6.25"
"16506","6.25"
"16507","6.25"
"16508","6.25"
"16509","6.25"
"16510","6.25"
"16511","6.25"
"16512","6.25"
"16513","6.25"
"16514","6.25"
"16515","6.25"
"16516","6.25"
"16517","6.25"
"16518","6.25"
"16519","6.25"
"16520","6.25"
"16521","6.25"
"16522","6.25"
"16523","6.25"
"16524","6.25"
"16525","6.25"
"16526","6.25"
"16527","6.25"
"16528","6.25"
"16529","6.25"
"16530","6.25"
"16531","6.25"
"16532","6.25"
"16533","6.25"
"16534","6.25"
"16535","6.25"
"16536","6.25"
"16537","6.25"
"16538","6.25"
"16539","6.25"
"16540","6.25"
"16541","6.25"
"16542","6.25"
"16543","6.25"
"16544","6.25"
"16545","6.25"
"16546","6.25"
"16547","6.25"
"16548","6.25"
"16549","6.25"
"16550","6.25"
"16551","6.25"
"16552","6.25"
"16553","6.25"
"16554","6.25"
"16555","6.25"
"16556","6.25"
"16557","6.25"
"16558","6.25"
"16559","6.25"
"16560","6.25"
"16561","6.25"
"16562","6.25"
"16563","6.25"
"16564","6.25"
"16565","6.25"
"16566","6.25"
"16567","6.25"
"16568","6.25"
"16569","6.25"
"16570","6.25"
"16571","6.25"
"16572","6.25"
"16573","6.25"
"16574","6.25"
"16575","6.25"
"16576","6.25"
"16577","6.25"
"16578","6.25"
"16579","6.25"
"16580","6.25"
"16581","6.25"
"16582","6.25"
"16583","6.25"
"16584","6.25"
"16585","6.25"
"16586","6.25"
"16587","6.25"
"16588","6.25"
"16589","6.25"
"16590","6.25"
"16591","6.25"
"16592","6.25"
"16593","6.25"
"16594","6.25"
"16595","6.25"
"16596","6.25"
"16597","6.25"
"16598","6.25"
"16599","6.25"
"16600","6.25"
"16601","6.25"
"16602","6.25"
"16603","6.25"
"16604","6.25"
"16605","6.25"
"16606","6.25"
"16607","6.25"
"16608","6.25"
"16609","6.25"
"16610","6.25"
"16611","6.25"
"16612","6.25"
"16613","6.25"
"16614","6.25"
"16615","6.25"
"16616","6.25"
"16617","6.25"
"16618","6.25"
"16619","6.25"
"16620","6.25"
"16621","6.25"
"16622","6.25"
"16623","6.25"
"16624","6.25"
"16625","6.25"
"16626","6.25"
"16627","6.25"
"16628","6.25"
"16629","6.25"
"16630","6.25"
"16631","6.25"
"16632","6.25"
"16633","6.25"
"16634","6.25"
"16635","6.25"
"16636","6.25"
"16637","6.25"
"16638","6.25"
"16639","6.25"
"16640","6.25"
"16641","6.25"
"16642","6.25"
"16643","6.25"
"16644","6.25"
"16645","6.25"
"16646","6.25"
"16647","6.25"
"16648","6.25"
"16649","6.25"
"16650","6.25"
"16651","6.25"
"16652","6.25"
"16653","6.25"
"16654","6.25"
"16655","6.25"
"16656","6.25"
"16657","6.25"
"16658","6.25"
"16659","6.25"
"16660","6.25"
"16661","5.9"
"16662","5.9"
"16663","6.2"
"16664","6.3"
"16665","6.25"
"16666","5.8"
"16667","5.8"
"16668","6.25"
"16669","5.9"
"16670","5.6"
"16671","6.25"
"16672","6.25"
"16673","0"
"16674","6.25"
"16675","6.3"
"16676","6.25"
"16677","6.1"
"16678","6.3"
"16679","6.25"
"16680","5.8"
"16681","5.95"
"16682","6.1"
"16683","0"
"16684","5.5"
"16685","6.2"
"16686","6.25"
"16687","6.25"
"16688","6.25"
"16689","6.4"
"16690","5.63"
"16691","5.63"
"16692","5.9"
"16693","6.25"
"16694","6.38"
"16695","6.25"
"16696","6.38"
"16697","6.25"
"16698","6.38"
"16699","6.25"
"16700","6.25"
"16701","6.25"
"16702","6.25"
"16703","6.25"
"16704","6.25"
"16705","6.25"
"16706","6.25"
"16707","6.25"
"16708","5.6"
"16709","5.8"
"16710","6.25"
"16711","6.25"
"16712","6.25"
"16713","5.8"
"16714","6.25"
"16715","6.25"
"16716","6.25"
"16717","6.25"
"16718","6.25"
"16719","5.7"
"16720","6.25"
"16721","6.25"
"16722","6.25"
"16723","6.25"
"16724","6.25"
"16725","6.25"
"16726","6.25"
"16727","5.3"
"16728","6.25"
"16729","6.25"
"16730","6.25"
"16731","6.25"
"16732","6.25"
"16733","6.25"
"16734","6.25"
"16735","6.25"
"16736","6.25"
"16737","6.25"
"16738","6.25"
"16739","6.25"
"16740","6.25"
"16741","5.3"
"16742","6.25"
"16743","6.25"
"16744","6.25"
"16745","6.25"
"16746","6.25"
"16747","6.25"
"16748","6.25"
"16749","6.25"
"16750","5.3"
"16751","6.25"
"16752","6.25"
"16753","6.25"
"16754","6.25"
"16755","6.25"
"16756","6.25"
"16757","6.25"
"16758","6.25"
"16759","6.25"
"16760","6.25"
"16761","6.25"
"16762","6.25"
"16763","6.25"
"16764","6.25"
"16765","6.38"
"16766","6.38"
"16767","6.38"
"16768","6.29"
"16769","6.38"
"16770","6.25"
"16771","6.25"
"16772","6.25"
"16773","6.25"
"16774","6.25"
"16775","6.25"
"16776","6.25"
"16777","6.25"
"16778","6.38"
"16779","6.38"
"16780","6.25"
"16781","6.38"
"16782","6.14"
"16783","6.25"
"16784","6.25"
"16785","6.25"
"16786","6.25"
"16787","6.14"
"16788","6.25"
"16789","6.25"
"16790","6.25"
"16791","6.25"
"16792","6.25"
"16793","6.38"
"16794","6.25"
"16795","6.25"
"16796","6.25"
"16797","6.25"
"16798","6.25"
"16799","6.25"
"16800","6.25"
"16801","6.25"
"16802","6.25"
"16803","6.25"
"16804","6.25"
"16805","6.25"
"16806","6.25"
"16807","6.25"
"16808","6.25"
"16809","6.25"
"16810","6.25"
"16811","6.25"
"16812","6.25"
"16813","6.25"
"16814","6.25"
"16815","6.25"
"16816","6.25"
"16817","6.25"
"16818","6.25"
"16819","6.25"
"16820","6.25"
"16821","6.25"
"16822","6.25"
"16823","6.25"
"16824","6.25"
"16825","6.25"
"16826","6.25"
"16827","6.25"
"16828","6.25"
"16829","6.25"
"16830","6.25"
"16831","6.25"
"16832","6.25"
"16833","6.25"
"16834","6.25"
"16835","6.25"
"16836","6.25"
"16837","6.25"
"16838","6.25"
"16839","6.25"
"16840","6.25"
"16841","6.25"
"16842","6.25"
"16843","6.25"
"16844","6.25"
"16845","6.25"
"16846","6.25"
"16847","6.25"
"16848","6.25"
"16849","6.25"
"16850","6.25"
"16851","6.25"
"16852","6.25"
"16853","6.25"
"16854","6.25"
"16855","6.25"
"16856","6.25"
"16857","6.25"
"16858","6.25"
"16859","6.25"
"16860","6.25"
"16861","6.25"
"16862","6.25"
"16863","6.25"
"16864","6.25"
"16865","6.25"
"16866","6.25"
"16867","6.25"
"16868","6.25"
"16869","6.25"
"16870","6.25"
"16871","6.25"
"16872","6.25"
"16873","6.25"
"16874","6.25"
"16875","6.25"
"16876","6.25"
"16877","6.25"
"16878","6.25"
"16879","6.25"
"16880","6.25"
"16881","6.25"
"16882","6.25"
"16883","6.25"
"16884","6.25"
"16885","6.25"
"16886","6.25"
"16887","6.25"
"16888","6.25"
"16889","6.25"
"16890","6.25"
"16891","6.25"
"16892","6.25"
"16893","6.25"
"16894","6.25"
"16895","6.25"
"16896","6.25"
"16897","6.25"
"16898","6.25"
"16899","6.25"
"16900","6.25"
"16901","6.25"
"16902","6.25"
"16903","6.25"
"16904","6.25"
"16905","6.25"
"16906","6.25"
"16907","6.25"
"16908","6.25"
"16909","6.25"
"16910","6.25"
"16911","6.25"
"16912","6.25"
"16913","6.25"
"16914","6.25"
"16915","6.25"
"16916","6.25"
"16917","6.25"
"16918","6.25"
"16919","6.25"
"16920","6.25"
"16921","6.25"
"16922","6.25"
"16923","6.25"
"16924","6.25"
"16925","6.25"
"16926","6.25"
"16927","6.25"
"16928","6.25"
"16929","6.25"
"16930","6.25"
"16931","6.25"
"16932","6.25"
"16933","6.25"
"16934","6.25"
"16935","6.25"
"16936","6.25"
"16937","6.25"
"16938","6.25"
"16939","6.25"
"16940","6.25"
"16941","6.25"
"16942","6.25"
"16943","6.25"
"16944","6.25"
"16945","6.25"
"16946","6.25"
"16947","6.25"
"16948","6.25"
"16949","6.25"
"16950","6.25"
"16951","6.25"
"16952","6.25"
"16953","6.25"
"16954","6.25"
"16955","6.25"
"16956","6.25"
"16957","6.25"
"16958","6.25"
"16959","6.25"
"16960","6.25"
"16961","6.25"
"16962","6.25"
"16963","6.25"
"16964","6.25"
"16965","6.25"
"16966","6.25"
"16967","6.25"
"16968","6.25"
"16969","6.25"
"16970","6.25"
"16971","6.25"
"16972","6.25"
"16973","6.25"
"16974","6.25"
"16975","6.25"
"16976","6.25"
"16977","6.25"
"16978","6.25"
"16979","6.25"
"16980","6.25"
"16981","6.25"
"16982","6.25"
"16983","6.25"
"16984","6.25"
"16985","6.25"
"16986","6.25"
"16987","6.25"
"16988","6.25"
"16989","6.25"
"16990","6.25"
"16991","6.25"
"16992","6.25"
"16993","6.25"
"16994","6.25"
"16995","6.25"
"16996","6.25"
"16997","6.25"
"16998","6.25"
"16999","6.25"
"17000","6.25"
"17001","6.25"
"17002","6.25"
"17003","6.25"
"17004","6.25"
"17005","6.25"
"17006","6.25"
"17007","6.25"
"17008","6.25"
"17009","6.25"
"17010","6.25"
"17011","6.25"
"17012","6.25"
"17013","6.25"
"17014","6.25"
"17015","6.25"
"17016","6.25"
"17017","6.25"
"17018","6.25"
"17019","6.25"
"17020","6.25"
"17021","6.25"
"17022","6.25"
"17023","6.25"
"17024","6.25"
"17025","6.25"
"17026","6.25"
"17027","6.25"
"17028","6.25"
"17029","6.25"
"17030","6.25"
"17031","6.25"
"17032","6.25"
"17033","6.25"
"17034","6.25"
"17035","6.25"
"17036","6.25"
"17037","6.25"
"17038","6.25"
"17039","6.25"
"17040","6.25"
"17041","6.25"
"17042","6.25"
"17043","6.25"
"17044","6.25"
"17045","6.25"
"17046","6.25"
"17047","6.25"
"17048","6.25"
"17049","6.25"
"17050","6.25"
"17051","6.25"
"17052","6.25"
"17053","6.25"
"17054","6.25"
"17055","6.25"
"17056","6.25"
"17057","6.25"
"17058","6.25"
"17059","6.25"
"17060","6.25"
"17061","6.25"
"17062","6.25"
"17063","6.25"
"17064","6.25"
"17065","6.25"
"17066","6.25"
"17067","6.25"
"17068","6.25"
"17069","6.25"
"17070","6.25"
"17071","6.25"
"17072","6.25"
"17073","6.25"
"17074","6.25"
"17075","6.25"
"17076","6.25"
"17077","6.25"
"17078","6.25"
"17079","6.25"
"17080","6.25"
"17081","6.25"
"17082","6.25"
"17083","6.25"
"17084","6.25"
"17085","6.25"
"17086","6.25"
"17087","6.25"
"17088","6.25"
"17089","6.25"
"17090","6.25"
"17091","6.25"
"17092","6.25"
"17093","6.25"
"17094","6.25"
"17095","6.25"
"17096","6.25"
"17097","6.25"
"17098","6.25"
"17099","6.25"
"17100","6.25"
