"id","description","last_updated"
"167512","Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","2019-04-01"
"167513","Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","2019-04-01"
"167514","Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","2019-04-01"
"167515","George Weston Bakeries, Thomas English Muffins","2019-04-01"
"167516","Waffles, buttermilk, frozen, ready-to-heat","2019-04-01"
"167517","Waffle, buttermilk, frozen, ready-to-heat, toasted","2019-04-01"
"167518","Waffle, buttermilk, frozen, ready-to-heat, microwaved","2019-04-01"
"167519","Waffle, plain, frozen, ready-to-heat, microwave","2019-04-01"
"167520","Pie Crust, Cookie-type, Graham Cracker, Ready Crust","2019-04-01"
"167521","Pie Crust, Cookie-type, Chocolate, Ready Crust","2019-04-01"
"167522","Pie, Dutch Apple, Commercially Prepared","2019-04-01"
"167523","Pie crust, deep dish, frozen, unbaked, made with enriched flour","2019-04-01"
"167524","Waffles, chocolate chip, frozen, ready-to-heat","2019-04-01"
"167525","Tostada shells, corn","2019-04-01"
"167526","Bread, salvadoran sweet cheese (quesadilla salvadorena)","2019-04-01"
"167527","Bread, pound cake type, pan de torta salvadoran","2019-04-01"
"167528","Pastry, Pastelitos de Guava (guava pastries)","2019-04-01"
"167529","Crackers, snack, Goya Crackers","2019-04-01"
"167530","Crackers, cream, Gamesa Sabrosas","2019-04-01"
"167531","Crackers, cream, La Moderna Rikis Cream Crackers","2019-04-01"
"167532","Bread, white wheat","2019-04-01"
"167533","Bagels, wheat","2019-04-01"
"167534","Cream puff, eclair, custard or cream filled, iced","2019-04-01"
"167535","Tortillas, ready-to-bake or -fry, flour, shelf stable","2019-04-01"
"167536","Snacks, beef jerky, chopped and formed","2019-04-01"
"167537","Snacks, corn-based, extruded, chips, plain","2019-04-01"
"167538","Snacks, corn-based, extruded, chips, barbecue-flavor","2019-04-01"
"167539","Snacks, corn-based, extruded, cones, plain","2019-04-01"
"167540","Snacks, fruit leather, pieces","2019-04-01"
"167541","Snacks, fruit leather, rolls","2019-04-01"
"167542","Snacks, granola bars, hard, plain","2019-04-01"
"167543","Snacks, granola bars, hard, almond","2019-04-01"
"167544","Snacks, granola bars, soft, uncoated, raisin","2019-04-01"
"167545","Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","2019-04-01"
"167546","Candies, honey-combed, with peanut butter","2019-04-01"
"167547","Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","2019-04-01"
"167548","Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","2019-04-01"
"167549","Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","2019-04-01"
"167550","Snacks, popcorn, cakes","2019-04-01"
