"nutrient","nutrient_units","value_med","food_catg","max_value","cc","prop_value"
"B1-Thiamin","mg",0.07,"Aquatic Foods",0.641498684721432,12,0.109119475483254
"B12-Cobalamine","mcg",2.4,"Aquatic Foods",2.4,12,1
"B2-Riboflavin","mg",0.11,"Aquatic Foods",0.439,12,0.250569476082005
"B3-Niacin","mg",3.5,"Aquatic Foods",6.19549054252085,12,0.564927018446534
"B5-Pantothenic acid","mg",0.54,"Aquatic Foods",1.57,12,0.343949044585987
"B6-Pyridoxine","mg",0.19,"Aquatic Foods",0.486,12,0.390946502057613
"B9-Folate","mcg",11,"Aquatic Foods",394,12,0.0279187817258883
"Calcium","mg",33,"Aquatic Foods",130.499281606449,12,0.252874955277679
"Chloride","mg",420,"Aquatic Foods",420,1,1
"Chromium","mcg",0,"Aquatic Foods",0,1,NA
"Copper","mg",0.08,"Aquatic Foods",0.896494875885964,12,0.0892364275043288
"Dietary fiber","g",0,"Aquatic Foods",15.3997564908326,12,0
"Histidine","mg",420,"Aquatic Foods",825,12,0.509090909090909
"Iodine","mcg",27.3987682097195,"Aquatic Foods",27.3987682097195,1,1
"Iron","mg",0.84528,"Aquatic Foods",6.59953975043882,12,0.128081659019297
"Leucine","mg",1420,"Aquatic Foods",1781.99663299222,12,0.796858969152835
"Lysine","g",1.607,"Aquatic Foods",1.822,12,0.881997804610318
"Magnesium","mg",31,"Aquatic Foods",183,12,0.169398907103825
"Manganese","mcg",0.029,"Aquatic Foods",1535.98437488962,12,1.88804003960548e-05
"Methionine","mg",508,"Aquatic Foods",572,12,0.888111888111888
"MUSA","g",0.36,"Aquatic Foods",4,12,0.09
"Phenylalanine","mg",723.999482043942,"Aquatic Foods",1232.9972627695,12,0.587186609334174
"Phosphorus","mg",217,"Aquatic Foods",396.43165953761,12,0.547383123368867
"Potassium","mg",326,"Aquatic Foods",1249.9951999872,12,0.260801001478516
"PUFA","g",0.524,"Aquatic Foods",1.324,12,0.395770392749245
"Selenium","mcg",31,"Aquatic Foods",36.5,12,0.84931506849315
"Sodium","mg",79,"Aquatic Foods",138,12,0.572463768115942
"Sugar","g",0,"Aquatic Foods",9.36,12,0
"Threonine","mg",767,"Aquatic Foods",897,12,0.855072463768116
"Tryptophan","mg",215,"Aquatic Foods",252.998517780531,12,0.849807350201579
"Valine","mg",893.3,"Aquatic Foods",1155.49342814367,12,0.773089641396846
"Vitamin A","mcg",17.1,"Aquatic Foods",160,12,0.106875
"Vitamin C","mg",0.7,"Aquatic Foods",26.3,12,0.026615969581749
"Vitamin D","mcg",1.8,"Aquatic Foods",1.8,1,1
"Vitamin E","mg",0.7,"Aquatic Foods",0.8,12,0.875
"Zinc","mg",0.76,"Aquatic Foods",4.16,12,0.182692307692308
NA,"g",0.1,"Aquatic Foods",571.128,7,0.000175092098443781
NA,"iu",118.996848681543,"Aquatic Foods",571.128,7,0.208354079438485
NA,"kcal",101,"Aquatic Foods",571.128,7,0.176843019428219
NA,"kj",430,"Aquatic Foods",571.128,7,0.75289602330826
NA,"mcg",17.1,"Aquatic Foods",571.128,7,0.0299407488338866
NA,"mg",571.128,"Aquatic Foods",571.128,7,1
NA,"none",0.574983695331108,"Aquatic Foods",571.128,7,0.00100675101786484
"B1-Thiamin","mg",0.075,"Aquatic Foods (USDA)",0.641498684721432,12,0.116913723732058
"B1-Thiamin","mg",0.074,"Beef",0.641498684721432,12,0.115354874082297
"B1-Thiamin","mg",0.413,"Cereal Grains",0.641498684721432,12,0.643804905351199
"B1-Thiamin","mg",0.067,"Dairy and Egg",0.641498684721432,12,0.104442926533972
"B1-Thiamin","mg",0.03,"Fruits",0.641498684721432,12,0.0467654894928232
"B1-Thiamin","mg",0.641498684721432,"Legumes",0.641498684721432,12,1
"B1-Thiamin","mg",0.194343877896032,"Nut and Seed",0.641498684721432,12,0.302952885991379
"B1-Thiamin","mg",0.518,"Pork",0.641498684721432,12,0.80748411857608
"B1-Thiamin","mg",0.0694986510609549,"Poultry",0.641498684721432,12,0.108337947865216
"B1-Thiamin","mg",0.07,"Vegetables",0.641498684721432,12,0.109119475483254
"B1-Thiamin","mg",0.0694986510609549,"Vegetables (without potatoes)",0.641498684721432,12,0.108337947865216
"B12-Cobalamine","mcg",2.03,"Aquatic Foods (USDA)",2.4,12,0.845833333333333
"B12-Cobalamine","mcg",2.1,"Beef",2.4,12,0.875
"B12-Cobalamine","mcg",0,"Cereal Grains",2.4,12,0
"B12-Cobalamine","mcg",1.21,"Dairy and Egg",2.4,12,0.504166666666667
"B12-Cobalamine","mcg",0,"Fruits",2.4,12,0
"B12-Cobalamine","mcg",0,"Legumes",2.4,12,0
"B12-Cobalamine","mcg",0,"Nut and Seed",2.4,12,0
"B12-Cobalamine","mcg",0.56,"Pork",2.4,12,0.233333333333333
"B12-Cobalamine","mcg",0.674986110912648,"Poultry",2.4,12,0.28124421288027
"B12-Cobalamine","mcg",0,"Vegetables",2.4,12,0
"B12-Cobalamine","mcg",0,"Vegetables (without potatoes)",2.4,12,0
"B2-Riboflavin","mg",0.1,"Aquatic Foods (USDA)",0.439,12,0.227790432801822
"B2-Riboflavin","mg",0.18,"Beef",0.439,12,0.41002277904328
"B2-Riboflavin","mg",0.049,"Cereal Grains",0.439,12,0.111617312072893
"B2-Riboflavin","mg",0.439,"Dairy and Egg",0.439,12,1
"B2-Riboflavin","mg",0.032,"Fruits",0.439,12,0.0728929384965832
"B2-Riboflavin","mg",0.213998247653587,"Legumes",0.439,12,0.487467534518421
"B2-Riboflavin","mg",0.103289902614773,"Nut and Seed",0.439,12,0.235284516206773
"B2-Riboflavin","mg",0.254,"Pork",0.439,12,0.578587699316629
"B2-Riboflavin","mg",0.195499520459541,"Poultry",0.439,12,0.445329203780276
"B2-Riboflavin","mg",0.087,"Vegetables",0.439,12,0.198177676537586
"B2-Riboflavin","mg",0.09,"Vegetables (without potatoes)",0.439,12,0.20501138952164
"B3-Niacin","mg",2.3,"Aquatic Foods (USDA)",6.19549054252085,12,0.371237754979151
"B3-Niacin","mg",4.887,"Beef",6.19549054252085,12,0.788799525470917
"B3-Niacin","mg",4.308,"Cereal Grains",6.19549054252085,12,0.695344455847905
"B3-Niacin","mg",0.092,"Dairy and Egg",6.19549054252085,12,0.014849510199166
"B3-Niacin","mg",0.348931222679271,"Fruits",6.19549054252085,12,0.0563201929346013
"B3-Niacin","mg",2.09447632172865,"Legumes",6.19549054252085,12,0.338064646754579
"B3-Niacin","mg",1.08186135550019,"Nut and Seed",6.19549054252085,12,0.174620774267214
"B3-Niacin","mg",5.338,"Pork",6.19549054252085,12,0.861594406990742
"B3-Niacin","mg",6.19549054252085,"Poultry",6.19549054252085,12,1
"B3-Niacin","mg",0.7,"Vegetables",6.19549054252085,12,0.112985403689307
"B3-Niacin","mg",0.672483131676435,"Vegetables (without potatoes)",6.19549054252085,12,0.108543968723873
"B5-Pantothenic acid","mg",0.75,"Aquatic Foods (USDA)",1.57,12,0.477707006369427
"B5-Pantothenic acid","mg",0.581,"Beef",1.57,12,0.370063694267516
"B5-Pantothenic acid","mg",1.074,"Cereal Grains",1.57,12,0.68407643312102
