nutrient,relevance
Calcium,3
"Carotenoids, total",3
Ergocalciferol d2,3
"Fatty acid 18:3, n3",3
"Folate, total",3
Folate; unknown/variable methods,3
Iodine,3
"Iron, total",3
Selenium,3
Vitamin A; method of determination unknown,3
Vitamin A; sum of carotenoids,3
"Vitamin A; sum of retinol/carotenoids, expressed as retinol activity equivalent (RAE)",3
"Vitamin A; sum of retinol/carotenoids, expressed as retinol equivalent (RE)",3
Vitamin B12,3
Zinc,3
Arginine,2
"Fatty acid 18:2, n6",2
Glutamine,2
Histidine,2
Leucine,2
Lysine,2
Magnesium,2
Methionine,2
"Niacin, equivalents",2
"Niacin, preformed",2
Niacin; unknown method/form,2
Pantothenic acid,2
Phenylalanine,2
Potassium,2
Proline,2
Pyridoxine,2
Riboflavin,2
Thiamin,2
Threonine,2
"Total fatty acids, monounsaturated",2
Tryptophan,2
Vitamin B1; as thiamin hydrochloride,2
"Vitamin B6, total; thru analysis",2
"Vitamin B6, total; thru summation",2
Vitamin B6; unknown/variable methods,2
Vitamin C,2
Vitamin C; unknown/variable methods,2
Vitamin E; unknown/variable methods,2
Chloride,1
Chromium,1
Copper,1
Cystine,1
Phosphorus,1
Sodium,1
"Starch, total",1
Sucrose,1
"Total fatty acids, saturated",1
Valine,1
Vitamin K-1,1
