,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
1,USDA,Calcium,,Calcium,mg,mg,NA,NA,3
2,USDA,Energy,,Energy,kcal,,NA,NA,
3,USDA,Fatty Acids 20 5 n3 EPA,Eicosapentaenoic acid,Eicosapentaenoic acid,g,,NA,NA,
4,USDA,Fatty Acids 22 6 n3 DHA,Docosahexaenoic acid,Docosahexaenoic acid,g,,NA,NA,
5,USDA,Fatty acids total polyunsaturated,,Fatty acids total polyunsaturated,g,,NA,NA,
6,USDA,Fatty acids total saturated,,Fatty acids total saturated,g,,NA,NA,
7,USDA,Fiber total dietary,Dietary fiber,Dietary fiber,g,,NA,NA,
8,USDA,Folate total,Folate,Folate,mcg,,NA,NA,
9,USDA,Iron,,Iron,mg,mg,NA,NA,3
10,USDA,Magnesium,,Magnesium,mg,mg,NA,NA,2
11,USDA,Potassium,,Potassium,mg,g,NA,NA,2
12,USDA,Protein,,Protein,g,g,NA,NA,2
13,USDA,Riboflavin,,Riboflavin,mg,mg,NA,NA,2
14,USDA,Thiamin,Vitamin B1,Vitamin B1,mg,mg,NA,NA,2
15,USDA,Vitamin A,,Vitamin A,mcg,mcg,NA,NA,3
16,USDA,Vitamin B12,,Vitamin B12,mcg,mcg,NA,NA,3
17,USDA,Vitamin C,,Vitamin C,mg,mg,NA,NA,2
18,USDA,Vitamin D,,Vitamin D,mcg,mcg,NA,NA,3
19,USDA,Vitamin E,,Vitamin E,mg,mg,NA,NA,2
20,USDA,Zinc,,Zinc,mg,mg,NA,NA,3
21,AFCD,"Energy, total",Energy,Energy,kj,,Energy,"Energy in kilojoules, total metabolizable; calculated from the energy-producing food components",
22,AFCD,"Energy, total",Energy,Energy,kcal,,Energy,"Energy in kilocalories, total metabolizable; calculated from the energy-producing food components",
23,AFCD,"Energy, gross",,"Energy, gross",kcal,,Energy,"Energy in kilocalories, calculated by direct analysis using bomb calorimetry",
24,AFCD,Alanine,,Alanine,mg,,Protein,Includes only L-alanine.,
25,AFCD,Arginine,,Arginine,mg,mg,Protein,Includes only L-arginine,2
26,AFCD,Aspartic acid,,Aspartic acid,mg,,Protein,Aspartic acid; includes only L-aspartic acid,
27,AFCD,Cystine,Cysteine,Cysteine,mg,mg,Protein,"Cysteine is often the natural form, which is converted to cystine during chromatography; includes only the L-amino acid",2
28,AFCD,Glutamine,,Glutamine,mg,mg,Protein,Includes only L-glutamine,2
29,AFCD,Glutamic acid,,Glutamic acid,mg,,Protein,Includes only L-glutamic acid,
30,AFCD,Glycine,,Glycine,mg,,Protein,Includes only L-glycine,
31,AFCD,Histidine,,Histidine,mg,mg,Protein,Histidine,2
32,AFCD,Hydroxyproline,,Hydroxyproline,mg,,Protein,Hydroxyproline,
33,AFCD,Leucine,,Leucine,mg,mg,Protein,Includes only L-leucine.,2
34,AFCD,Lysine,,Lysine,mcg,mcg,Protein,Lycopene,2
35,AFCD,Methionine,,Methionine,mg,mg,Protein,Includes only L-methionine.,2
36,AFCD,Phenylalanine,,Phenylalanine,mg,mg,Protein,Includes only L-phenylalanine,2
37,AFCD,Proline,,Proline,mg,g,Protein,Includes only L-proline,2
