nut_order,type,PH_nutrient,USDA_name,AFCD_name
12,Carbohydrates,Dietary fiber,"Fiber, total dietary","Fibre, total; gravimetrically determined"
14,Carbohydrates,Starch,Starch,"Starch, total"
13,Carbohydrates,Sugar,"Sugars, total including NLEA","Sugars, total"
10,Fats,PUFA,"Fatty acids, total polyunsaturated","Total fatty acids, polyunsaturated"
11,Fats,MUSA,"Fatty acids, total monounsaturated","Total fatty acids, monounsaturated"
28,Minerals,Calcium,"Calcium, Ca",Calcium
29,Minerals,Iodine,"Iodine, I",Iodine
30,Minerals,Iron,"Iron, Fe","Iron, total"
31,Minerals,Selenium,"Selenium, Se",Selenium
32,Minerals,Zinc,"Zinc, Zn",Zinc
33,Minerals,Manganese,"Manganese, Mn",Manganese
34,Minerals,Magnesium,"Magnesium, Mg",Magnesium
35,Minerals,Potassium,"Potassium, K",Potassium
37,Minerals,Choline,"Choline, total",
38,Minerals,Chromium,"Chromium, Cr",Chromium
39,Minerals,Copper,"Copper, Cu",Copper
40,Minerals,Phosphorus,"Phosphorus, P",Phosphorus
41,Minerals,Sodium,"Sodium, Na",Sodium
1,Protein,Histidine,Histidine,Histidine
2,Protein,Isoleucine,Isoleucine,Isoleucine
3,Protein,Leucine,Leucine,Leucine
4,Protein,Lysine,Lysine,Lysine
5,Protein,Methionine,Methionine,Methionine
6,Protein,Phenylalanine,Phenylalanine,Phenylalanine
7,Protein,Threonine,Threonine,Threonine
8,Protein,Tryptophan,Tryptophan,Tryptophan
9,Protein,Valine,Valine,Valine
25,Vitamins,B9-Folate,"Folate, total","Folate, total"
15,Vitamins,Vitamin A,"Vitamin A, RAE",Vitamin_a_combined
26,Vitamins,B12-Cobalamine,Vitamin B-12,Vitamin B12
17,Vitamins,Vitamin D,Vitamin D D2D3,Vitamin D; unknown/variable methods
21,Vitamins,B3-Niacin,Niacin,"Niacin, equivalents"
21,Vitamins,B3-Niacin,,"Niacin, preformed"
21,Vitamins,B3-Niacin,,Niacin; unknown method/form
20,Vitamins,B2-Riboflavin,Riboflavin,Riboflavin
19,Vitamins,B1-Thiamin,Thiamin,Vitamin B1; as thiamin hydrochloride
19,Vitamins,B1-Thiamin,,Thiamin
22,Vitamins,B5-Pantothenic acid,Pantothenic acid,Pantothenic acid
23,Vitamins,B6-Pyridoxine,Vitamin B-6,"Vitamin B6, total; thru analysis"
24,Vitamins,B7-Biotin,Biotin,
18,Vitamins,Vitamin C,"Vitamin C, total ascorbic acid",Vitamin C
18,Vitamins,Vitamin C,,Vitamin C; unknown/variable methods
16,Vitamins,Vitamin E,Vitamin E (alpha-tocopherol),Vitamin E; unknown/variable methods
27,Vitamins,Vitamin K,Vitamin K (phylloquinone),Vitamin K-1
