"","ID","nutrient","nutrient_units","X","animal_food_catg","value","relevance","data_type","edible_value","nutrient_units_orig","n","dri_type","ref_proportion_lb","ref_proportion_ub","ref_proportion_mean"
"1",797,"Calcium","mg",4,"Poultry",10,3,"USDA_name",10,"mg",3,"UL",0.00333333333333333,0.01,0.00411214953271028
"2",798,"Calcium","mg",4,"Poultry",10,3,"USDA_name",10,"mg",3,"EAR",0.00909090909090909,0.02,0.0111731843575419
"3",799,"Calcium","mg",4,"Poultry",10,3,"USDA_name",10,"mg",3,"RDA",0.00769230769230769,0.0142857142857143,0.00904977375565611
"4",800,"Calcium","mg",4,"Poultry",10,3,"USDA_name",10,"mg",3,"AI",0.0384615384615385,0.05,0.0434782608695652
"5",801,"Calcium","mg",5,"Beef",12,3,"USDA_name",12,"mg",3,"UL",0.004,0.012,0.00493457943925234
"6",802,"Calcium","mg",5,"Beef",12,3,"USDA_name",12,"mg",3,"EAR",0.0109090909090909,0.024,0.0134078212290503
"7",803,"Calcium","mg",5,"Beef",12,3,"USDA_name",12,"mg",3,"RDA",0.00923076923076923,0.0171428571428571,0.0108597285067873
"8",804,"Calcium","mg",5,"Beef",12,3,"USDA_name",12,"mg",3,"AI",0.0461538461538462,0.06,0.0521739130434783
"9",805,"Calcium","mg",6,"Pork",12,3,"USDA_name",12,"mg",3,"UL",0.004,0.012,0.00493457943925234
"10",806,"Calcium","mg",6,"Pork",12,3,"USDA_name",12,"mg",3,"EAR",0.0109090909090909,0.024,0.0134078212290503
"11",807,"Calcium","mg",6,"Pork",12,3,"USDA_name",12,"mg",3,"RDA",0.00923076923076923,0.0171428571428571,0.0108597285067873
"12",808,"Calcium","mg",6,"Pork",12,3,"USDA_name",12,"mg",3,"AI",0.0461538461538462,0.06,0.0521739130434783
"13",5973,"Choline","mg",9,"Beef",70.4,1,"USDA_name",70.4,"mg",3,"AI",0.128,0.5632,0.166091152815013
"14",5974,"Choline","mg",9,"Beef",70.4,1,"USDA_name",70.4,"mg",3,"UL",0.0201142857142857,0.0704,0.0234666666666667
