"country","iso3","nutrient","npeople","ndeficient","perc_deficient"
"Afghanistan","AFG","Calcium",38928302,37088066.2218277,95.2727561089813
"Afghanistan","AFG","Iron",38928302,21866266.8461569,56.1706155232687
"Afghanistan","AFG","Omega-3 fatty acids",14091526,13689660.9047237,97.148179017118
"Afghanistan","AFG","Vitamin A, RAE",38928302,32001980.9459682,82.2074924972792
"Afghanistan","AFG","Vitamin B-12",38928302,17508428.139135,44.9760899900925
"Afghanistan","AFG","Zinc",38928302,33179745.0384732,85.2329624818293
"Albania","ALB","Calcium",2877749,27842.5728390688,0.967512206209394
"Albania","ALB","Iron",2877749,15738.1315336813,0.546890348452255
"Albania","ALB","Omega-3 fatty acids",1953783,1747005.68152342,89.4165668103069
"Albania","ALB","Vitamin A, RAE",2877749,5146.78860090897,0.178847724416166
"Albania","ALB","Vitamin B-12",2877749,3.7189710203659e-06,1.29231945536803e-10
"Albania","ALB","Zinc",2877749,342.852940778604,0.0119139278922034
"Algeria","DZA","Calcium",43850080,23532869.8473928,53.6666520275284
"Algeria","DZA","Iron",43850080,124083.328216821,0.282971725973637
"Algeria","DZA","Omega-3 fatty acids",24441006,22228491.9486466,90.9475328005999
"Algeria","DZA","Vitamin A, RAE",43850080,12086424.2653497,27.5630609233774
"Algeria","DZA","Vitamin B-12",43850080,6350575.99181845,14.482472989373
"Algeria","DZA","Zinc",43850080,1301202.01535209,2.96738800784877
"Angola","AGO","Calcium",32866230,32248199.987105,98.11955915572
"Angola","AGO","Iron",32866230,9673783.37423331,29.4338090320469
"Angola","AGO","Omega-3 fatty acids",11202717,7746172.3330609,69.1454790213919
"Angola","AGO","Vitamin A, RAE",32866230,6657350.24129951,20.2558986573742
"Angola","AGO","Vitamin B-12",32866230,2838294.12871685,8.63589808967092
"Angola","AGO","Zinc",32866230,6036510.08038361,18.3669075533872
"Antigua & Barbuda","ATG","Calcium",97924,73653.1889533185,75.2146449831691
"Antigua & Barbuda","ATG","Iron",97924,14267.529353758,14.570002607898
"Antigua & Barbuda","ATG","Omega-3 fatty acids",61895,16193.201578266,26.1623743085322
"Antigua & Barbuda","ATG","Vitamin A, RAE",97924,688.942509657339,0.703548169659469
"Antigua & Barbuda","ATG","Vitamin B-12",97924,0.000341844371846893,3.49091511628296e-07
"Antigua & Barbuda","ATG","Zinc",97924,18215.171107933,18.6013348187707
"Argentina","ARG","Calcium",45191659,41878072.8563269,92.6677041361258
"Argentina","ARG","Iron",45191659,2083134.67728198,4.60955566442466
"Argentina","ARG","Omega-3 fatty acids",27131145,24288103.3940831,89.5211145496554
"Argentina","ARG","Vitamin A, RAE",45191659,1.71361500153533e-10,3.79188336842277e-16
"Argentina","ARG","Vitamin B-12",45191659,0,0
"Argentina","ARG","Zinc",45191659,9.12642210712993,2.01949260307747e-05
"Armenia","ARM","Calcium",2963018,1296816.92929272,43.7667583960921
"Armenia","ARM","Iron",2963018,49708.9551527994,1.67764607413115
"Armenia","ARM","Omega-3 fatty acids",1998732,1601640.12356024,80.1328103797926
"Armenia","ARM","Vitamin A, RAE",2963018,596.962091176155,0.0201470963448806
"Armenia","ARM","Vitamin B-12",2963018,1.31190039391882e-13,4.42758158714802e-18
"Armenia","ARM","Zinc",2963018,7688.81625476995,0.259492728521053
"Australia","AUS","Calcium",25495544,13514177.6464908,53.00603762952
"Australia","AUS","Iron",25495544,376987.290136546,1.47863991502415
"Australia","AUS","Omega-3 fatty acids",17461522,8555416.0990317,48.9958212063742
"Australia","AUS","Vitamin A, RAE",25495544,4.14532160484033e-06,1.62590043375436e-11
"Australia","AUS","Vitamin B-12",25495544,0,0
"Australia","AUS","Zinc",25495544,278.663331791686,0.0010929883739358
"Austria","AUT","Calcium",9005245,5512042.29180626,61.2092429668072
"Austria","AUT","Iron",9005245,327837.181511609,3.64051373962184
"Austria","AUT","Omega-3 fatty acids",6746094,5192591.70186689,76.9718255017924
"Austria","AUT","Vitamin A, RAE",9005245,3221240.33342638,35.7707128837292
"Austria","AUT","Vitamin B-12",9005245,575891.28255239,6.39506512651672
"Austria","AUT","Zinc",9005245,4553.16998763021,0.0505613116315016
"Azerbaijan","AZE","Calcium",10139067,7842689.99627792,77.3512000293313
"Azerbaijan","AZE","Iron",10139067,44854.4589366237,0.442392371375233
"Azerbaijan","AZE","Omega-3 fatty acids",6398444,5717556.67171939,89.3585482926691
