FactID,Val,Year,ISO-alpha2 Code,UN Region Name,UN Sub-region Name,Country,ThemeID,Theme_text,IndmetaID,indmeta_text,Age,Gender,Residency,Unit,Link,Reference,Download_date
3.4.1MN2004,1.6,2004,MN,Asia,Eastern Asia,Mongolia,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1AR2005,2.3,2005,AR,Americas,Latin America and the Caribbean,Argentina,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1IS2005,3.1,2005,IS,Europe,Northern Europe,Iceland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AR2004,3.2,2004,AR,Americas,Latin America and the Caribbean,Argentina,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1LU2005,3.6,2005,LU,Europe,Western Europe,Luxembourg,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AU2005,3.8,2005,AU,Oceania,Australia and New Zealand,Australia,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1FR2005,3.9,2005,FR,Europe,Western Europe,France,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1UY2004,4,2004,UY,Americas,Latin America and the Caribbean,Uruguay,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1IE2005,4,2005,IE,Europe,Northern Europe,Ireland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1BM2004,4.1,2004,BM,Americas,Northern America,Bermuda,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1MN2005,4.1,2005,MN,Asia,Eastern Asia,Mongolia,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1FR2004,4.2,2004,FR,Europe,Western Europe,France,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1KW2004,4.2,2004,KW,Asia,Western Asia,Kuwait,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1NZ2005,4.4,2005,NZ,Oceania,Australia and New Zealand,New Zealand,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1NZ2004,4.6,2004,NZ,Oceania,Australia and New Zealand,New Zealand,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1GB2005,4.6,2005,GB,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1FI2005,4.6,2005,FI,Europe,Northern Europe,Finland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1KZ2005,4.9,2005,KZ,Asia,Central Asia,Kazakhstan,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1CH2005,4.9,2005,CH,Europe,Western Europe,Switzerland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1NL2005,5,2005,NL,Europe,Western Europe,Netherlands,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1US2005,5,2005,US,Americas,Northern America,United States of America,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AU2004,5.1,2004,AU,Oceania,Australia and New Zealand,Australia,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1IE2004,5.2,2004,IE,Europe,Northern Europe,Ireland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1LY2004,5.2,2004,LY,Africa,Northern Africa,Libya,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1TM2005,5.2,2005,TM,Asia,Central Asia,Turkmenistan,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AL2005,5.3,2005,AL,Europe,Southern Europe,Albania,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1ES2005,5.4,2005,ES,Europe,Southern Europe,Spain,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1IL2005,5.5,2005,IL,Asia,Western Asia,Israel,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AD2005,5.6,2005,AD,Europe,Southern Europe,Andorra,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1FI2004,5.7,2004,FI,Europe,Northern Europe,Finland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1BS2005,5.7,2005,BS,Americas,Latin America and the Caribbean,Bahamas,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1CL2005,5.7,2005,CL,Americas,Latin America and the Caribbean,Chile,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1BY2004,5.8,2004,BY,Europe,Eastern Europe,Belarus,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1IT2005,5.8,2005,IT,Europe,Southern Europe,Italy,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1UY2005,5.8,2005,UY,Americas,Latin America and the Caribbean,Uruguay,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1KG2005,6,2005,KG,Asia,Central Asia,Kyrgyzstan,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1SE2005,6.1,2005,SE,Europe,Northern Europe,Sweden,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1CY2005,6.1,2005,CY,Asia,Western Asia,Cyprus,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1CY2004,6.2,2004,CY,Asia,Western Asia,Cyprus,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1NO2005,6.2,2005,NO,Europe,Northern Europe,Norway,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1WS2005,6.2,2005,WS,Oceania,Polynesia,Samoa,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1DK2005,6.2,2005,DK,Europe,Northern Europe,Denmark,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1PT2005,6.3,2005,PT,Europe,Southern Europe,Portugal,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1SY2004,6.5,2004,SY,Asia,Western Asia,Syrian Arab Republic,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1DZ2004,6.6,2004,DZ,Africa,Northern Africa,Algeria,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1IR2004,6.7,2004,IR,Asia,Southern Asia,Iran (Islamic Republic of),3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1TN2004,6.8,2004,TN,Africa,Northern Africa,Tunisia,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1AG2005,6.8,2005,AG,Americas,Latin America and the Caribbean,Antigua and Barbuda,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1BE2005,6.8,2005,BE,Europe,Western Europe,Belgium,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1RS2005,7,2005,RS,Europe,Southern Europe,Serbia,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1GR2005,7.2,2005,GR,Europe,Southern Europe,Greece,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1NL2004,7.3,2004,NL,Europe,Western Europe,Netherlands,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1BR2005,7.3,2005,BR,Americas,Latin America and the Caribbean,Brazil,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1DM2004,7.4,2004,DM,Americas,Latin America and the Caribbean,Dominica,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1SD2005,7.4,2005,SD,Africa,Northern Africa,Sudan,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AT2005,7.4,2005,AT,Europe,Western Europe,Austria,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AE2004,7.5,2004,AE,Asia,Western Asia,United Arab Emirates,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1LT2005,7.5,2005,LT,Europe,Northern Europe,Lithuania,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1ME2005,7.5,2005,ME,Europe,Southern Europe,Montenegro,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1RO2005,7.5,2005,RO,Europe,Eastern Europe,Romania,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1CN2005,7.5,2005,CN,Asia,Eastern Asia,China,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1MA2004,7.6,2004,MA,Africa,Northern Africa,Morocco,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1CH2004,7.6,2004,CH,Europe,Western Europe,Switzerland,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1EC2005,7.9,2005,EC,Americas,Latin America and the Caribbean,Ecuador,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1LB2004,8,2004,LB,Asia,Western Asia,Lebanon,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1NO2004,8,2004,NO,Europe,Northern Europe,Norway,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1CA2005,8,2005,CA,Americas,Northern America,Canada,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1MT2005,8.1,2005,MT,Europe,Southern Europe,Malta,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1JO2004,8.3,2004,JO,Asia,Western Asia,Jordan,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
3.4.1RU2005,8.3,2005,RU,Europe,Eastern Europe,Russian Federation,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,https://static1.squarespace.com/static/56424f6ce4b0552eb7fdc4e8/t/575b3a1e22482e3a748c06d2/1465596454726/journal.pone.0050568.PDF,IZiNCG.,2019
3.4.1AT2004,8.4,2004,AT,Europe,Western Europe,Austria,3.4,"Iodine, Iron & zinc deficiencies",3.4.1,Estimated % population at risk of inadequate zinc intake,All ages,Both sexes,All residences,%,http://www.izincg.ucdavis.edu/publications/files/IZiNCGtechdocFNB2004.pdf,IZiNCG,2019
